Date,Open,High,Low,Close,Adj Close,Volume
1990-01-01,22.645794,24.288958,22.586042,23.840822,11.365444,35302919
1990-01-08,23.721319,24.199331,23.332935,23.392687,11.151811,30245300
1990-01-15,23.332935,24.109703,23.243307,23.571941,11.237257,36299547
1990-01-22,23.601816,23.691444,22.705545,23.153681,11.037871,38455144
1990-01-29,23.273184,23.840822,22.825048,23.512190,11.208775,36840539
1990-02-05,23.332935,24.826721,23.303059,24.498089,11.678781,43051687
1990-02-12,24.468212,25.005976,24.049952,24.737095,11.939576,33943955
1990-02-19,24.527964,25.215105,24.378586,24.527964,11.838636,30473328
1990-02-26,24.617592,25.215105,24.498089,25.065727,12.098191,29621465
1990-03-05,25.065727,25.663240,24.916348,25.454111,12.285645,32132283
1990-03-12,25.454111,25.991875,25.244982,25.961998,12.530783,36575691
1990-03-19,25.842495,26.141253,25.065727,25.095602,12.112605,27847867
1990-03-26,25.215105,25.543737,24.707218,25.364485,12.242395,27016088
1990-04-02,25.125479,25.752869,25.095602,25.304731,12.213551,23788551
1990-04-09,25.244982,25.812620,25.125479,25.603489,12.357743,13741929
1990-04-16,26.290630,26.589388,25.872372,26.141253,12.617298,44978419
1990-04-23,26.051624,26.380259,25.663240,25.663240,12.386581,25916114
1990-04-30,25.573614,26.440010,25.573614,26.410133,12.747081,30027313
1990-05-07,26.410133,27.366158,26.350382,27.246655,13.298118,33979519
1990-05-14,27.276529,27.784416,27.186901,27.575287,13.458518,37032165
1990-05-21,27.515535,28.411806,27.515535,27.784416,13.560583,33330998
1990-05-28,27.963671,29.188576,27.903919,28.561186,13.939692,34936400
1990-06-04,28.561186,29.218451,28.352055,28.381931,13.852202,33942282
1990-06-11,28.352055,29.188576,28.352055,28.770315,14.041759,35602075
1990-06-18,28.740440,28.859943,27.784416,27.784416,13.560583,25732018
1990-06-25,27.874044,28.292303,27.844168,28.083174,13.706397,21714124
1990-07-02,28.083174,28.381931,27.933796,28.202677,13.764722,12796763
1990-07-09,28.232553,29.188576,28.142925,28.919695,14.114667,29612679
1990-07-16,29.158701,29.427582,28.083174,28.113050,13.720976,36799534
1990-07-23,28.142925,28.142925,26.440010,26.619265,12.991904,34579505
1990-07-30,26.469885,26.977772,24.796844,25.842495,12.612796,41748789
1990-08-06,24.826721,25.095602,24.259083,24.378586,11.898316,38153059
1990-08-13,24.259083,25.274857,24.079828,24.229206,11.959240,39436711
1990-08-20,24.378586,24.557838,23.064054,23.990202,11.841278,42127441
1990-08-27,24.617592,24.946224,23.990202,24.348709,12.018231,23653825
1990-09-03,24.139580,25.215105,24.079828,25.215105,12.445874,23576003
1990-09-10,25.454111,25.902246,24.766970,24.946224,12.313155,27886779
1990-09-17,24.916348,26.111378,24.886473,25.513863,12.593341,34343109
1990-09-24,25.394360,25.603489,24.587715,25.424234,12.549094,37436758
1990-10-01,25.603489,26.380259,25.334608,25.872372,12.770290,31706770
1990-10-08,25.991875,26.171127,23.781071,23.960325,11.826530,41841672
1990-10-15,24.049952,26.051624,23.004301,25.722992,12.696553,44597256
1990-10-22,25.722992,26.111378,25.454111,25.543737,12.608077,31992956
1990-10-29,25.454111,25.961998,25.035851,25.902246,12.785037,31084191
1990-11-05,25.663240,26.350382,25.394360,26.350382,13.006227,33875338
1990-11-12,26.499762,27.276529,26.469885,27.157026,13.555737,47919771
1990-11-19,27.276529,27.515535,26.858271,26.918020,13.436425,23595668
1990-11-26,26.768642,27.366158,26.589388,27.157026,13.555737,29355782
1990-12-03,27.366158,27.724665,26.469885,26.888145,13.421510,41051735
1990-12-10,26.828394,27.396032,26.529636,26.589388,13.272384,25823230
1990-12-17,26.499762,27.396032,26.440010,27.216778,13.585559,37723781
1990-12-24,27.216778,27.306404,27.007648,27.097275,13.525901,9122793
1990-12-31,27.097275,27.216778,26.738768,26.798517,13.376774,16282036
1991-01-07,26.619265,26.738768,25.513863,25.842495,12.899569,27420263
1991-01-14,25.543737,28.262428,25.215105,28.113050,14.032937,56143004
1991-01-21,27.903919,29.308079,27.874044,29.308079,14.629452,48779164
1991-01-28,29.278202,30.503107,29.248327,30.323853,15.136492,44305212
